member_id,display_as,gender,party,party_simple,mp_final_relig,ass_suicide_2nd,ass_suicide_3rd,lgbt,ethnic_mp,relig_christian,relig_muslim,relig_jewish,relig_sikh,mp_swear,mp_swear_book,mp_inferred_relig,elected,majority,constituency_type,cen_claimant,cen_eth_white,cen_rel_christian,cen_rel_buddhist,cen_rel_hindu,cen_rel_jewish,cen_rel_muslim,cen_rel_sikh,cen_rel_no religion,cen_qual_none,cen_qual_grad,cen_disab_some
5224,Kate Dearden,F,Labour (Co-op),Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.080874,Borough,6.382182,0.77863,0.384931,0.002435,0.009304,0.000818,0.166532,0.001896,0.377588,0.223477,0.263029,0.185753
5225,Lizzi Collinge,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.076089,County,3.261789,0.975129,0.572375,0.003245,0.001119,0.000692,0.004313,0.0006,0.353857,0.170186,0.318037,0.206844
5226,Michelle Welsh,F,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.06899,County,3.118911,0.951305,0.462635,0.002322,0.003167,0.000602,0.006256,0.002662,0.460809,0.204341,0.264742,0.209714
5227,Jas Athwal,M,Labour,Labour,Sikh,Yes,TBC,No,Yes,0,0,0,1,Oath,No text,None,Elected,0.085118,Borough,8.207253,0.219815,0.259057,0.004064,0.107783,0.003008,0.413951,0.080309,0.075702,0.200938,0.375773,0.116837
5228,Maya Ellis,F,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,New Testament,Christian,Elected,0.010636,County,2.196428,0.910541,0.637015,0.00225,0.012796,0.000404,0.037207,0.003532,0.252031,0.14262,0.374518,0.161059
5229,Joe Powell,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.037552,Borough,3.878915,0.61383,0.451937,0.01208,0.011673,0.019215,0.125817,0.00228,0.266746,0.110199,0.605554,0.125178
5230,Warinder Juss,M,Labour,Labour,Sikh,Yes,TBC,No,Yes,0,0,0,1,Oath,No text,None,Elected,0.101065,Borough,8.007449,0.552688,0.416511,0.004101,0.04686,0.000399,0.081967,0.143811,0.240131,0.220276,0.316059,0.173237
5231,Adnan Hussain,M,Independent,Independent,Muslim,No,TBC,No,Yes,0,1,0,0,Affirm,No text,None,Elected,0.001802,Borough,7.96717,0.478237,0.312964,0.00169,0.00355,0.000214,0.467578,0.000845,0.160939,0.266863,0.254111,0.181238
5232,Lorraine Beavers,F,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.063363,Borough,3.850224,0.972759,0.558927,0.003021,0.001347,0.000979,0.005042,0.000453,0.374299,0.220873,0.242288,0.241795
5233,Lee Pitcher,M,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.032942,County,3.212391,0.961153,0.543307,0.002028,0.002754,0.00031,0.010611,0.002957,0.380433,0.21478,0.248128,0.198096
5234,Laurence Turner,M,Labour,Labour,None,No,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.072777,Borough,8.006425,0.778324,0.467798,0.003405,0.007728,0.000789,0.052631,0.005177,0.399024,0.234054,0.274099,0.215655
5235,Al Carns,M,Labour,Labour,Christian,Abstain,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.152449,Borough,6.683973,0.688699,0.388905,0.004454,0.018094,0.004723,0.129008,0.015307,0.368172,0.178373,0.324726,0.191029
5236,Jade Botterill,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.062811,County,3.001472,0.941931,0.504446,0.002017,0.002725,0.000493,0.024265,0.002274,0.405842,0.179853,0.318744,0.172429
5237,Chris Vince,M,Labour (Co-op),Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.033528,County,4.517717,0.844413,0.462104,0.00378,0.009098,0.003888,0.035313,0.001107,0.423722,0.203788,0.254903,0.158819
5238,Alex Ballinger,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.063662,Borough,5.021758,0.823864,0.467315,0.002238,0.004708,0.000317,0.077784,0.019042,0.366794,0.230338,0.24932,0.189102
5239,Sarah Gibson,F,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.109814,County,2.374738,0.941405,0.469534,0.004268,0.005748,0.000878,0.006912,0.00144,0.44305,0.140294,0.330895,0.168841
5240,Melanie Ward,F,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.100884,County,4.20523,0.960263,0.30207,0.002043,0.002158,0.0004,0.01335,0.002095,0.612952,0.176154,0.280926,0.25738
5241,Aphra Brandreth,F,Conservative,Con,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.041153,County,2.023578,0.961006,0.585937,0.002419,0.004209,0.000831,0.006213,0.000735,0.344111,0.130383,0.428632,0.159962
5242,Michael Wheeler,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.14103,County,4.476781,0.888983,0.544805,0.00286,0.006949,0.002391,0.03696,0.002166,0.355335,0.190293,0.314076,0.183532
5243,Andrew Pakes,M,Labour (Co-op),Labour,None,No,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.001608,County,7.456354,0.696105,0.447477,0.00246,0.016188,0.000748,0.178287,0.006709,0.284074,0.255832,0.23326,0.170054
5244,Chris Hinchliff,M,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.02475,County,2.338966,0.910156,0.466499,0.00429,0.007657,0.003045,0.00826,0.012482,0.434744,0.145423,0.373629,0.157679
5245,Chris Murray,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.048761,Borough,2.649035,0.840599,0.285015,0.006585,0.010638,0.002655,0.037795,0.004255,0.578408,0.112373,0.437024,0.213677
5246,Torcuil Crichton,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - Gaelic,Christian,Elected,0.179883,County,1.811968,0.983396,0.636291,0.002219,0.000612,0,0.002219,3.83E-05,0.299476,0.178251,0.311443,0.243009
5247,Sojan Joseph,M,Labour,Labour,Christian,No,TBC,No,Yes,0,0,0,0,Oath,New Testament,Christian,Elected,0.023336,County,3.495711,0.860152,0.455048,0.011983,0.024912,0.001011,0.018855,0.001058,0.418284,0.173628,0.293775,0.170424
5248,Luke Murphy,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.082612,Borough,3.323288,0.855959,0.426395,0.011488,0.029911,0.000927,0.020086,0.003072,0.445073,0.155837,0.322984,0.154928
5249,Ellie Chowns,F,Green Party,Green Party,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.080965,County,2.795348,0.975849,0.560875,0.003622,0.00148,0.000928,0.002948,0.000541,0.357948,0.171023,0.346788,0.187965
5250,Gideon Amos,M,Liberal Democrat,Lib Dem,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.151741,County,2.655663,0.944666,0.484931,0.003114,0.003633,0.000778,0.007609,0.000519,0.429206,0.157176,0.328929,0.182681
5251,Martin Rhodes,M,Labour,Labour,Catholic,No,TBC,No,No,0,0,0,0,Oath,Bible - Jerusalem,Catholic,Elected,0.052368,Borough,4.763098,0.75816,0.324255,0.007966,0.024456,0.002457,0.068226,0.005784,0.487126,0.156094,0.41724,0.227983
5252,Rachel Gilmour,F,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.04865,County,2.517922,0.981306,0.499381,0.003517,0.000877,0.000646,0.00172,0.000285,0.422077,0.178794,0.306593,0.19915
5253,Richard Baker,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.041809,County,4.25618,0.971573,0.281945,0.001727,0.00137,0.000216,0.008622,0.001198,0.642818,0.216217,0.190441,0.296961
5254,Alison Hume,F,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.072548,County,3.150248,0.967824,0.523861,0.003396,0.001523,0.000514,0.007172,0.000103,0.397825,0.202377,0.279198,0.216999
5255,Joe Robertson,M,Conservative,Con,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.059493,County,4.474056,0.972322,0.487289,0.003533,0.001881,0.000833,0.003361,0.000402,0.428561,0.197514,0.262706,0.241063
5256,Jonathan Davies,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.02686,County,2.055932,0.952361,0.497648,0.002773,0.003102,0.000568,0.006023,0.003887,0.422246,0.148363,0.358799,0.17776
5257,Rachel Blake,F,Labour (Co-op),Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.036909,Borough,3.500499,0.600287,0.382819,0.014736,0.029388,0.035239,0.144331,0.003567,0.285078,0.104566,0.622028,0.122661
5258,Louise Jones,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.023937,County,3.003929,0.972739,0.507956,0.002099,0.001255,0.000595,0.003775,0.001471,0.424249,0.196598,0.27584,0.21122
5259,Jeevun Sandher,M,Labour,Labour,Sikh,Yes,TBC,No,Yes,0,0,0,1,Affirm,No text,None,Elected,0.071925,County,2.700399,0.829979,0.411749,0.004269,0.039921,0.000943,0.043118,0.005242,0.421905,0.143337,0.329877,0.16714
5260,Katie White,F,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.166164,County,2.265167,0.916997,0.486303,0.003149,0.007248,0.003343,0.021258,0.00811,0.41181,0.132399,0.431153,0.155296
5262,Alex Easton,M,Independent,Independent,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Elected,0.09887,County,2.663998,0.972176,0.643752,0.001073,0.000919,0,0.003892,0,0.329149,0.172198,0.381556,0.243401
5263,Alex Brewer,F,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.008242,County,1.62461,0.931267,0.502209,0.004596,0.009687,0.001248,0.007201,0.00315,0.411605,0.105255,0.433458,0.12975
5264,Jonathan Hinder,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.011447,County,5.686019,0.805013,0.466262,0.002381,0.001057,0.00034,0.164337,0.000377,0.308571,0.21383,0.290155,0.172516
5265,James MacCleary,M,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.165743,County,3.328976,0.949586,0.437005,0.005363,0.002934,0.002955,0.006993,0.000599,0.472002,0.158334,0.348168,0.204871
